valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
330000;Apartamento para venda quadra 301, Samambaia Sul 02 quartos sendo 1 com suíte, sala com varanda, 1 banheiro social, cozinha, área de serviço, condomínio com área de lazer completa...;Quadra 301 Conjunto 7; Samambaia Sul;2;1;1;63;0;0;Nenhuma;1;0;1;0;0;0
140000;02 quartos, sala, cozinha, área de serviço e banheiro.  Obs.: Valor de venda está sujeito à alteração sem aviso prévio. Obs: Os valores condominiais podem sofrer alterações, sendo...;Avenida Sucupira; Riacho Fundo I;2;0;1;40;0;0;Nenhuma;0;0;0;0;0;0
230000;Yes Imóveis disponibiliza para VENDA, LINDÍSSIMO APARTAMENTO de 2 QUARTOS, 65m2*, SEM VAGA DE GARAGEM, todo reformado com acabamentos de primeira, na Avenida da Misericórdia, Colôn...;Chácara 117; Setor Habitacional Vicente Pires Trecho 3;2;0;1;65;0;250;Nenhuma;0;0;0;0;0;0
530000;"Oportunidade   Res Paladium!! Excelente Apartamento:   Sala ampla com Varanda fechada;   03 Quartos sendo 01 suíte;   Ótima e espaçosa Cozinha com armário; 01 Vaga de garagem.. Áre...";Rua 21; Aguas Claras;3;1;2;74;1040;535;Destaque;1;0;1;0;0;0
70000;Vendo ótimo ágio de apartamento em São Sebastião no condomínio crixá, apartamento com 2 quartos, sala, cozinha, banheiro, apartamento no 2º andar!! Condomínio fechado, porteiro 24h...;Crixa; Brasília;2;1;1;50;0;0;Nenhuma;0;0;0;0;0;0
185000;"Qs 29, conj 3   Riacho Fundo/DF.  Apto localizado no Riacho Fundo II. Composto por:   3 quartos sendo 1 suíte;   Sala;   Cozinha;   Banheiro; O apartamento possui 60 metros quadrad...";Riacho Fundo II; Brasília;3;0;2;60;0;280;Nenhuma;1;0;0;1;0;0
430000;Vendo com Exclusividade este maravilhoso apartamento no Residencial Borges Landeiro Garden em ótima localização.  Apartamento no Bloco C (Residencial Mirabell), em andar alto, com...;QNO 13 Conjunto A; Ceilandia Norte;3;2;2;81;0;509;Nenhuma;0;0;0;0;0;0
540000;A SAMUEL IMOBILIÁRIA oferece a você esse apartamento no RESIDENCIAL RIVIERA EM ÁGUAS CLARAS DF.  Apartamento locação na Rua 18 Norte em Águas Claras composto por:   3 quartos sendo...;Rua 18; Aguas Claras;3;1;1;70;0;0;Nenhuma;0;0;0;0;0;0
265000;ENDEREÇO: AVENIDA CONTORNO A/E 7 LOTES A/G APT   ED CARIBE N.BANDEIRANTE     UM APT COM 02 QUARTOS,   SALA, COZINHA, BANHEIRO ÁREA DE SERVIÇO E GARAGEM       CONVICTA IMÓVEIS   061...;Avenida Contorno Área Especial 7; Núcleo Bandeirante;2;1;1;60;0;300;Nenhuma;0;0;0;0;0;0
190000;Excelente apartamento com 73 m² de área útil, localizado no Edifício SPAZIO .     APARTAMENTO COMPOSTO POR:   Metragem: 73 m2   Andar: Térreo   Posição: Nascente   Elevador: Sim...;QNN 23 Conjunto O; Ceilandia Norte;1;0;2;73;338;170;Nenhuma;0;0;0;0;0;0
1250000;Águas Claras Sul   Residencial Le Ciel 118 metros, 3 quartos sendo 3 suites, reformado,  repleto de armários, projeto de iluminação, ar condicionado, andar alto nascente, vista liv...;Rua 25; Sul;3;2;4;118;1524;980;Destaque;1;0;0;1;0;0
295000;Spot Hplus Long Stay   Apartamento 1 quarto   Águas Claras  Apartamento 1 quarto , Com Armários, Lazer Completo, Excelente Localização, Spot Hplus Long Stay.  Apartamento de 33 m²...;Avenida Jacarandá; Sul;1;1;1;33;0;450;Nenhuma;0;0;0;0;0;0
620000;O duplex está localizado no bairro Setor de Habitações Individuais Norte tem 62 metros quadrados com 2 quartos sendo 1 suíte e 2 banheiros Vai lhe possibilitar curtir os dias mais...;CA 9; Setor de Habitações Individuais Norte;2;1;2;62;0;0;Nenhuma;1;0;0;1;0;0
790000;"Qd 208  Residencial Montsserat Águas Claras. Condomínio 936,00 com taxa. 92m  2 vagas livres e cobertas. 2° andar. Perpendicular. 3 Quartos. 1 suíte. Lazer; piscina, quadra, churra...";Avenida das Araucárias; Sul (Águas Claras);3;2;1;92;0;0;Nenhuma;1;0;0;0;0;0
449000;Apartamento de 03 quartos todo reformado no Via Tropical   QR 301   Samambaia Sul   SIGA NOS TAMBÉM NO INSTAGRAM: @soagioimoveisdf  QUEM VER SE APAIXONA!!! Excelente Oportunidade!...;Quadra 301 Conjunto 7; Samambaia Sul;3;1;1;71;700;610;Nenhuma;0;0;0;0;0;0
228000;Oportunidade AOS 04/5   OCTOGONAL 4    Apartamento em ótima localização, próximo ao comércio local e ponto de ônibus   36m2, andar baixo   Sala ampla   Cozinha conjugada com área d...;Area Octogonal; Brasília;1;0;1;36;877;220;Nenhuma;0;0;0;1;0;0
820000;APARTAMENTO ÁGUAS CLARAS / MOBILIADO BRASÍLIA     83 mts   Sala ampla   Cozinha rica em armários ( cooktop, forno   eletrolux , geladeira ) , completo em utensílios domésticos)...;Quadra 207; Sul;3;2;1;83;0;800;Nenhuma;0;0;0;0;0;0
70000;Vendo apartamento em São Sebastião no condomínio crixá, apartamento com 2 quartos, sala, cozinha, banheiro, apartamento no 2º andar!! Condomínio fechado, porteiro 24h apartamento s...;Crixa; Brasília;2;1;1;50;0;0;Nenhuma;0;0;0;0;0;0
230000;Apartamento de 2 quartos, Residencial Olimpic Samambaia Norte  apartamento 2 quartos, sala, cozinha , banheiro, garagem coberta, localização com fácil acesso às principais vias da...;QS 421 Conjunto B; Samambaia Norte;2;1;1;46;0;360;Nenhuma;0;0;0;0;0;0
110000;Yes Imóveis disponibiliza para VENDA, APARTAMENTO de 1 Quarto, Sala, Cozinha, Banheiro Social, 3º Andar, SEM VAGA DE GARAGEM, com 39m2, Prédio com 4 andares, na ADE de Águas Claras...;ADE Conjunto 19; Area de Desenvolvimento Economico;1;0;1;39;0;0;Nenhuma;0;0;0;0;0;0
300000;"Residencial SPOT Apartaments;  Lindo Apartamento   Porteira fechada:  Apartamento com 32m² de área útil, sendo:  01 suíte com armários planejados e cama;  Cozinha com armários plan...";Avenida Jacarandá; Aguas Claras;1;1;1;32;557;546;Nenhuma;1;0;0;0;0;1
520000;EXCELENTE APARTAMENTO REFORMADO!   65M²   2 QUARTOS   2 BANHEIROS   ARMÁRIOS NA COZINHA E NOS 2 QUARTOS   1 VAGA DE GARAGEM  PREÇO: R$520.000  AGENDE SUA VISITA!!!!  Maiores inform...;QI; Guara II;2;1;2;65;0;0;Nenhuma;0;0;0;0;0;0
185000;QN 5C Vendo Excelente Apartamento no condomínio Parque Riacho 8 | Riacho Fundo II  2 Quartos ,Sala com sanca de gesso, 01 banheiro social com box,  Condomínio R$ 257,00, incluso ág...;QN 5C Conjunto 8; Riacho Fundo II;2;1;1;50;0;257;Nenhuma;0;0;0;0;0;0
209000;Breve lançamento na QS 116, Samambaia Sul!  Em excelente localização a 7 minutos da estação do metrô!  São 1 e 2 quartos, de 36 a 51 m², com vaga de garagem.  Lazer seco com: minim...;QS 116; Samambaia Sul;1;1;1;36;0;0;Nenhuma;0;0;0;1;0;0
310000;Residencial Evora   Apartamento 3 quartos  Samambaia Sul   Apartamento 64 metros, com 3 quartos, 1 suite, sala, cozinha com armários,  1 vaga de garagem  Condómino com: piscina aqu...;QR 108; Samambaia Sul;3;1;2;63;0;579;Nenhuma;1;0;0;1;0;0
85000;Vendo um apt na ade de águas claras 1 quarto sala cozinha americana e 1 banheiro  Fica no primeiro andar de frente Não tem elevador  A sala tem 4.3/3.3 MTS O quarto tem 4/3 mts   F...;ADE Conjunto 3; Area de Desenvolvimento Economico;1;0;1;35;0;0;Nenhuma;0;0;0;0;0;0
350000;Excelente oportunidade!   Imobiliária Noble Vende apartamento andar alto, vista livre para o estadio, condomínio com laser completo, Espaço Pet, Academia, na melhor localização do...;Área Especial 1; Setor Central;2;1;2;64;0;390;Nenhuma;0;1;0;0;0;0
350000;"Top Life Long Beach   2 Quartos   Reformado   Taguatinga Norte  ESPECIFICACcedil;ÕES DO IMÓVEL:  Apartamento de 54 m² sendo 2 quartos com 1 suíte; Sala espaçosa; Cozinha americana...";QI 24; Setor Industrial;2;1;2;54;0;334;Nenhuma;1;0;0;0;0;0
95000;Excelente Apartamento na DF 150 Condomínio Bem Estar   Grande Colorado   01 Quarto Sala Banheiro  Área de serviço Cozinha Todo no blindex Todo reformado Barato       Siga nosso Ins...;Rodovia DF-150; Grande Colorado;1;0;1;40;0;0;Nenhuma;0;0;0;0;0;0
740000;Residencial Recanto das Águas   Rua das Pitangueiras   Águas Claras  Apartamento lindamente reformado e decorado, semimobiliado composto por:   80m²   02 quartos    DCE transformad...;Rua das Pitangueiras; Sul (Águas Claras);2;1;1;80;0;0;Nenhuma;0;0;0;0;0;0
